unique_id: 931237d3-2a55-44ae-9c75-f3ef5f596809 label: (D,1,1,1,False);
unique_id: 42d3b85e-b7e0-4b95-ba56-c0ecf0510972 label: (A,2,1,1,False);
unique_id: 2fa34da3-ce9d-4ad4-8686-d16c90a6f97b label: (B,2,1,1,False);
unique_id: 76c2b3b3-ba05-4b39-ac7c-d493e3843d62 label: (A,3,2,1,False); child_unique_id: 42d3b85e-b7e0-4b95-ba56-c0ecf0510972 child_label: (A,2,1);
unique_id: 8a2e8433-0c6c-40be-b708-018cd05b325b label: (B,4,2,1,False); child_unique_id: 2fa34da3-ce9d-4ad4-8686-d16c90a6f97b child_label: (B,2,1);
unique_id: 4fa2900a-8f60-41f4-a5e7-83dfbe07c406 label: (C,4,1,1,False);
unique_id: 4f80bbbd-fe91-4b60-835d-86415192b5a2 label: (E,4,1,1,False);
unique_id: 34e88333-6ecd-4dfc-ae8b-eb404d2e9d4f label: (A,5,3,1,False); child_unique_id: 76c2b3b3-ba05-4b39-ac7c-d493e3843d62 child_label: (A,3,2);
unique_id: 1e174032-35fa-4f29-b66e-9e506e51cbcf label: (D,5,2,1,False); child_unique_id: 931237d3-2a55-44ae-9c75-f3ef5f596809 child_label: (D,1,1);
unique_id: 234672bb-e821-4af3-82c7-91bdb0623fcd label: (E,5,2,1,False); child_unique_id: 4f80bbbd-fe91-4b60-835d-86415192b5a2 child_label: (E,4,1);
unique_id: fbde01d3-fc53-4437-b233-d3235821e7c3 label: (A,6,4,1,False); child_unique_id: 34e88333-6ecd-4dfc-ae8b-eb404d2e9d4f child_label: (A,5,3);
unique_id: 35cc7e53-25a4-43f1-b147-dc7d7d679b4d label: (C,6,2,1,True); child_unique_id: 4fa2900a-8f60-41f4-a5e7-83dfbe07c406 child_label: (C,4,1); child_unique_id: 1e174032-35fa-4f29-b66e-9e506e51cbcf child_label: (D,5,2);
unique_id: 2f518cb0-2911-4843-a285-4232b68a4589 label: (A,7,5,1,False); child_unique_id: fbde01d3-fc53-4437-b233-d3235821e7c3 child_label: (A,6,4); child_unique_id: 35cc7e53-25a4-43f1-b147-dc7d7d679b4d child_label: (C,6,2);
unique_id: 51cb1f78-ae1f-41d5-b77c-b3cf3666a8de label: (B,7,3,1,False); child_unique_id: 8a2e8433-0c6c-40be-b708-018cd05b325b child_label: (B,4,2); child_unique_id: 35cc7e53-25a4-43f1-b147-dc7d7d679b4d child_label: (C,6,2);
unique_id: 961dc8ab-4a01-4396-b54c-9d913146d128 label: (B,8,4,1,False); child_unique_id: 51cb1f78-ae1f-41d5-b77c-b3cf3666a8de child_label: (B,7,3);
