unique_id: f6203508-c284-4aee-897c-8e60e2dd7561 label: (B,1,1,1,False);
unique_id: 4fb5f14a-993d-40e1-ade1-15cd6f32ba38 label: (C,1,1,1,False);
unique_id: 7d129cf9-a2d5-4259-9520-771d7cb41763 label: (B,2,2,1,False); child_unique_id: f6203508-c284-4aee-897c-8e60e2dd7561 child_label: (B,1,1);
unique_id: 50aaccdd-7022-4542-b79e-23cf0e247478 label: (A,3,1,1,False);
unique_id: b89fc125-b02c-4014-8209-d0ce4421aee5 label: (B,3,3,1,False); child_unique_id: 7d129cf9-a2d5-4259-9520-771d7cb41763 child_label: (B,2,2);
unique_id: 25415127-cae6-4e14-9e30-7c1483825401 label: (C,4,2,1,False); child_unique_id: 4fb5f14a-993d-40e1-ade1-15cd6f32ba38 child_label: (C,1,1); child_unique_id: 50aaccdd-7022-4542-b79e-23cf0e247478 child_label: (A,3,1); child_unique_id: b89fc125-b02c-4014-8209-d0ce4421aee5 child_label: (B,3,3);
unique_id: 3432075c-9773-4782-be9b-eef5bf371be0 label: (B,5,4,1,False); child_unique_id: b89fc125-b02c-4014-8209-d0ce4421aee5 child_label: (B,3,3);
unique_id: 19f9472d-3e4e-4eda-89f0-237d61b52b7e label: (C,5,3,1,False); child_unique_id: 25415127-cae6-4e14-9e30-7c1483825401 child_label: (C,4,2);
unique_id: cb9308c8-2779-4752-8cc7-d4f533426b95 label: (A,6,2,1,False); child_unique_id: 50aaccdd-7022-4542-b79e-23cf0e247478 child_label: (A,3,1);
unique_id: 7374f554-4569-4ce6-bbd8-3f1fc489ffe6 label: (B,6,5,1,False); child_unique_id: 3432075c-9773-4782-be9b-eef5bf371be0 child_label: (B,5,4);
unique_id: 9413a64d-3ce5-4477-9f9f-a0aeb5192ba8 label: (A,7,3,1,False); child_unique_id: cb9308c8-2779-4752-8cc7-d4f533426b95 child_label: (A,6,2);
unique_id: ecba5902-55c8-4b6a-8380-6e339b149343 label: (B,8,6,1,False); child_unique_id: 7374f554-4569-4ce6-bbd8-3f1fc489ffe6 child_label: (B,6,5);
unique_id: 7b2c6fa4-c32a-4d27-a10b-b1ec2d429474 label: (C,8,4,1,False); child_unique_id: 19f9472d-3e4e-4eda-89f0-237d61b52b7e child_label: (C,5,3);
unique_id: 6e345237-8a8c-4ee6-9888-4549ca2ad72c label: (C,9,5,1,False); child_unique_id: 7b2c6fa4-c32a-4d27-a10b-b1ec2d429474 child_label: (C,8,4);
unique_id: 3a67fbaa-b792-4068-bcbf-5106fe0bcbc6 label: (A,10,4,1,False); child_unique_id: 9413a64d-3ce5-4477-9f9f-a0aeb5192ba8 child_label: (A,7,3);
unique_id: ddd17a46-0780-4a81-b76d-c1ca37688691 label: (B,10,7,1,False); child_unique_id: ecba5902-55c8-4b6a-8380-6e339b149343 child_label: (B,8,6);
unique_id: 57d6e08f-b889-4608-95de-47936f26354e label: (C,11,6,1,False); child_unique_id: 6e345237-8a8c-4ee6-9888-4549ca2ad72c child_label: (C,9,5);
unique_id: b15441de-ff2d-4aaf-a45e-154797705252 label: (C,12,7,1,True); child_unique_id: 57d6e08f-b889-4608-95de-47936f26354e child_label: (C,11,6);
unique_id: 3c1ac442-29ad-4f3b-acbe-f42264bed645 label: (A,13,5,1,False); child_unique_id: 3a67fbaa-b792-4068-bcbf-5106fe0bcbc6 child_label: (A,10,4);
unique_id: 72b16fbd-3266-4352-97ce-9a4eabaa2fac label: (B,13,8,1,False); child_unique_id: ddd17a46-0780-4a81-b76d-c1ca37688691 child_label: (B,10,7);
unique_id: afcf9095-d516-420b-b6e5-0d4e1144301d label: (B,14,9,1,False); child_unique_id: 72b16fbd-3266-4352-97ce-9a4eabaa2fac child_label: (B,13,8);
unique_id: 8351786b-c1e2-4ac1-9839-3d901302465a label: (B,15,10,1,False); child_unique_id: afcf9095-d516-420b-b6e5-0d4e1144301d child_label: (B,14,9);
unique_id: 9566917d-3595-4a47-849d-39860b7ca977 label: (A,17,6,1,False); child_unique_id: 3c1ac442-29ad-4f3b-acbe-f42264bed645 child_label: (A,13,5);
unique_id: c5d778c8-2370-4ea6-a4cf-d2969eda4d55 label: (B,17,11,1,False); child_unique_id: 8351786b-c1e2-4ac1-9839-3d901302465a child_label: (B,15,10);
unique_id: 6ae7ee9a-9e83-44bd-9732-8d4108c28442 label: (A,18,7,1,False); child_unique_id: 9566917d-3595-4a47-849d-39860b7ca977 child_label: (A,17,6);
unique_id: 08d9d244-ed1e-4796-992c-4e9b9fa1011e label: (B,18,12,1,False); child_unique_id: c5d778c8-2370-4ea6-a4cf-d2969eda4d55 child_label: (B,17,11);
